id,name,tags,rule
corpus-titled-cinnamon-bread,Cinnamon Bread,"dinner,lunch",default main → lunch + dinner
corpus-titled-zucchini-patties,Zucchini Patties,"dinner,lunch",default main → lunch + dinner
corpus-titled-bonbons,Bonbons,"dinner,lunch",default main → lunch + dinner
corpus-titled-fresh-fruit-salad,Fresh Fruit Salad,"dinner,lunch",default main → lunch + dinner
corpus-titled-dream-bars,Dream Bars,"dinner,lunch",default main → lunch + dinner
corpus-titled-graham-cracker-crust,Graham Cracker Crust,"dinner,lunch",default main → lunch + dinner
corpus-titled-peanut-butter-frosting,Peanut Butter Frosting,"dinner,lunch",default main → lunch + dinner
corpus-titled-hash-browns,Hash Browns,breakfast,breakfast
corpus-titled-cream-cheese-dip,Cream Cheese Dip,"dinner,lunch",default main → lunch + dinner
corpus-titled-potato-wedges,Potato Wedges,"dinner,lunch",default main → lunch + dinner
corpus-titled-nacho-cheese-dip,Nacho Cheese Dip,"dinner,lunch",default main → lunch + dinner
corpus-titled-strawberry-cream-pie,Strawberry Cream Pie,dessert,dessert
corpus-titled-grilled-chicken,Grilled Chicken,"dinner,lunch",default main → lunch + dinner
corpus-titled-cherry-winks,Cherry Winks,"dinner,lunch",default main → lunch + dinner
corpus-titled-zucchini-parmesan,Zucchini Parmesan,"dinner,lunch",default main → lunch + dinner
corpus-titled-zucchini-appetizer,Zucchini Appetizer,"dinner,lunch",default main → lunch + dinner
corpus-titled-tuna-patties,Tuna Patties,"dinner,lunch",default main → lunch + dinner
corpus-titled-oyster-dressing,Oyster Dressing,"dinner,lunch",default main → lunch + dinner
corpus-titled-corn-flake-cookies,Corn Flake Cookies,dessert,dessert
corpus-titled-turkey-meat-loaf,Turkey Meat Loaf,"dinner,lunch",default main → lunch + dinner
corpus-titled-mediterranean-chicken,Mediterranean Chicken,"dinner,lunch",default main → lunch + dinner
corpus-titled-asian-chicken-salad,Asian Chicken Salad,"dinner,lunch",default main → lunch + dinner
corpus-titled-pinto-beans,Pinto Beans,"dinner,lunch",default main → lunch + dinner
corpus-titled-oyster-cracker-snack,Oyster Cracker Snack,snack,strict snack
corpus-titled-green-bean-bundles,Green Bean Bundles,"dinner,lunch",default main → lunch + dinner
corpus-titled-caramel-dip,Caramel Dip,"dinner,lunch",default main → lunch + dinner
corpus-titled-chocolate-balls,Chocolate Balls,"dinner,lunch",default main → lunch + dinner
corpus-titled-pasta-fagioli,Pasta Fagioli,"dinner,lunch",default main → lunch + dinner
corpus-titled-foolproof-pie-crust,Foolproof Pie Crust,dessert,dessert
corpus-titled-broccoli-puff,Broccoli Puff,"dinner,lunch",default main → lunch + dinner
corpus-titled-gumdrop-cookies,Gumdrop Cookies,dessert,dessert
corpus-titled-tortilla-casserole,Tortilla Casserole,"dinner,lunch",default main → lunch + dinner
corpus-titled-pork-fried-rice,Pork Fried Rice,"dinner,lunch",default main → lunch + dinner
corpus-titled-sour-cream-corn-bread,Sour Cream Corn Bread,"dinner,lunch",default main → lunch + dinner
corpus-titled-oat-bran-muffins,Oat Bran Muffins,"dinner,lunch",default main → lunch + dinner
corpus-titled-creamed-chicken,Creamed Chicken,"dinner,lunch",default main → lunch + dinner
corpus-titled-scotch-shortbread,Scotch Shortbread,"dinner,lunch",default main → lunch + dinner
corpus-titled-dog-biscuits,Dog Biscuits,"dinner,lunch",default main → lunch + dinner
corpus-titled-salmon-burgers,Salmon Burgers,"dinner,lunch",default main → lunch + dinner
corpus-titled-banana-split,Banana Split,"dinner,lunch",default main → lunch + dinner
corpus-titled-beef-tips,Beef Tips,"dinner,lunch",default main → lunch + dinner
corpus-titled-butter-cake,Butter Cake,dessert,dessert
corpus-titled-chocolate-peanut-butter-balls,Chocolate Peanut Butter Balls,"dinner,lunch",default main → lunch + dinner
corpus-titled-cottage-pie,Cottage Pie,"dinner,lunch",default main → lunch + dinner
corpus-titled-gingerbread-men,Gingerbread Men,"dinner,lunch",default main → lunch + dinner
corpus-titled-seven-layer-bars,Seven Layer Bars,"dinner,lunch",default main → lunch + dinner
corpus-titled-breakfast-quiche,Breakfast Quiche,"breakfast,lunch",breakfast; also lunch
corpus-titled-challah,Challah,"dinner,lunch",default main → lunch + dinner
corpus-titled-bread-baking,Bread Baking,"dinner,lunch",default main → lunch + dinner
corpus-titled-raisin-sauce,Raisin Sauce,"dinner,lunch",default main → lunch + dinner
corpus-titled-cheese-ring,Cheese Ring,"dinner,lunch",default main → lunch + dinner
corpus-titled-deer-jerky,Deer Jerky,snack,strict snack
corpus-titled-honey-chicken,Honey Chicken,"dinner,lunch",default main → lunch + dinner
corpus-titled-strawberry-butter,Strawberry Butter,"dinner,lunch",default main → lunch + dinner
corpus-titled-sweet-and-sour-pork-chops,Sweet And Sour Pork Chops,"dinner,lunch",default main → lunch + dinner
corpus-titled-pork-tenderloin,Pork Tenderloin,"dinner,lunch",default main → lunch + dinner
corpus-titled-skillet-cabbage,Skillet Cabbage,"dinner,lunch",default main → lunch + dinner
corpus-titled-chicken-and-stuffing-casserole,Chicken And Stuffing Casserole,"dinner,lunch",default main → lunch + dinner
corpus-titled-cream-of-asparagus-soup,Cream Of Asparagus Soup,"dinner,lunch",default main → lunch + dinner
corpus-titled-baked-salmon,Baked Salmon,"dinner,lunch",default main → lunch + dinner
corpus-titled-peanut-butter-kisses,Peanut Butter Kisses,"dinner,lunch",default main → lunch + dinner
corpus-titled-caponata,Caponata,"dinner,lunch",default main → lunch + dinner
corpus-titled-creamy-broccoli-soup,Creamy Broccoli Soup,"dinner,lunch",default main → lunch + dinner
corpus-titled-chicken-and-wild-rice-casserole,Chicken And Wild Rice Casserole,"dinner,lunch",default main → lunch + dinner
corpus-titled-pecan-bars,Pecan Bars,"dinner,lunch",default main → lunch + dinner
corpus-titled-boston-cream-pie,Boston Cream Pie,dessert,dessert
corpus-titled-dirt-cups,Dirt Cups,"dinner,lunch",default main → lunch + dinner
corpus-titled-tuna-pasta-salad,Tuna Pasta Salad,"dinner,lunch",default main → lunch + dinner
corpus-titled-marinated-cucumbers,Marinated Cucumbers,"dinner,lunch",default main → lunch + dinner
corpus-titled-oven-roasted-potatoes,Oven Roasted Potatoes,"dinner,lunch",default main → lunch + dinner
corpus-titled-raisin-cookies,Raisin Cookies,dessert,dessert
corpus-titled-hash-brown-potatoes,Hash Brown Potatoes,breakfast,breakfast
