id,name,tags,rule
corpus-titled-pork-barbecue,Pork Barbecue,"dinner,lunch",default main → lunch + dinner
corpus-titled-lime-punch,Lime Punch,"dinner,lunch",default main → lunch + dinner
corpus-titled-banana-fritters,Banana Fritters,dessert,dessert
corpus-titled-lemon-poppy-seed-muffins,Lemon Poppy Seed Muffins,"dinner,lunch",default main → lunch + dinner
corpus-titled-thai-beef-salad,Thai Beef Salad,"dinner,lunch",default main → lunch + dinner
corpus-titled-cakespy,Cakespy,"dinner,lunch",default main → lunch + dinner
corpus-titled-meatloaf-recipe,Meatloaf Recipe,"dinner,lunch",default main → lunch + dinner
corpus-titled-carrot-bars,Carrot Bars,"dinner,lunch",default main → lunch + dinner
corpus-titled-chocolate-chip-cookie,Chocolate Chip Cookie,dessert,dessert
corpus-titled-linguini-salad,Linguini Salad,"dinner,lunch",default main → lunch + dinner
corpus-titled-savory-pot-roast,Savory Pot Roast,"dinner,lunch",default main → lunch + dinner
corpus-titled-cheesy-chicken-casserole,Cheesy Chicken Casserole,"dinner,lunch",default main → lunch + dinner
corpus-titled-ladyfingers,Ladyfingers,"dinner,lunch",default main → lunch + dinner
corpus-titled-oreo-cake,Oreo Cake,dessert,dessert
